Time,Date,Lat,Long,Speed,Altitude,Lux_left,Lux_center,Lux_right,street
150912,40125.0,24.73841,46.64015,2.1,651.0,1.0,1.0,1.0,1
150913,40125.0,24.7384,46.64015,0.0,651.0,1.0,1.0,1.0,1
150913,40125.0,24.7384,46.64015,0.0,651.0,1.0,1.0,1.0,2
150914,120123.0,24.7384,46.64016,0.0,652.0,1.0,0.0,0.0,2
150914,120123.0,24.7384,46.64016,0.0,652.0,1.0,0.0,0.0,3
150915,120123.0,24.73839,46.64016,0.0,653.0,1.0,0.0,0.0,3
150915,120123.0,24.73839,46.64016,0.0,653.0,1.0,0.0,0.0,4
150917,120123.0,24.73838,46.64018,0.0,655.0,1.0,1.0,1.0,4
150917,120123.0,24.73838,46.64018,0.0,655.0,1.0,1.0,1.0,5
150918,120123.0,24.73838,46.64017,1.8,654.0,1.0,1.0,1.0,5
150918,120123.0,24.73838,46.64017,1.8,654.0,1.0,1.0,1.0,6
150919,120123.0,24.73838,46.64016,3.4,654.0,1.0,1.0,1.0,6
150919,120123.0,24.73838,46.64016,3.4,654.0,1.0,1.0,1.0,7
150920,120123.0,24.73837,46.64014,1.6,653.0,1.0,1.0,1.0,7
150920,120123.0,24.73837,46.64014,1.6,653.0,1.0,1.0,1.0,8
150929,120123.0,24.73838,46.64014,0.0,649.0,1.0,1.0,1.0,8
150929,120123.0,24.73838,46.64014,0.0,649.0,1.0,1.0,1.0,9
150931,120123.0,24.73838,46.64013,0.0,649.0,1.0,1.0,1.0,9
150931,120123.0,24.73838,46.64013,0.0,649.0,1.0,1.0,1.0,10
150937,120123.0,24.7384,46.64011,0.9,649.0,1.0,1.0,1.0,10
150937,120123.0,24.7384,46.64011,0.9,649.0,1.0,1.0,1.0,11
150938,120123.0,24.73839,46.64011,0.6,649.0,1.0,1.0,1.0,11
150938,120123.0,24.73839,46.64011,0.6,649.0,1.0,1.0,1.0,12
150945,120123.0,24.73839,46.64012,0.0,646.0,1.0,1.0,1.0,12
150945,120123.0,24.73839,46.64012,0.0,646.0,1.0,1.0,1.0,13
150946,120123.0,24.73839,46.64013,0.0,646.0,1.0,1.0,1.0,13
150946,120123.0,24.73839,46.64013,0.0,646.0,1.0,1.0,1.0,14
150948,120123.0,24.73838,46.64012,3.9,646.0,1.0,1.0,1.0,14
150948,120123.0,24.73838,46.64012,3.9,646.0,1.0,1.0,1.0,15
150949,120123.0,24.73837,46.64011,3.4,645.0,1.0,1.0,1.0,15
150949,120123.0,24.73837,46.64011,3.4,645.0,1.0,1.0,1.0,16
150950,120123.0,24.73837,46.6401,3.2,645.0,2.0,1.0,1.0,16
150950,120123.0,24.73837,46.6401,3.2,645.0,2.0,1.0,1.0,17
150954,120123.0,24.73836,46.64009,0.0,646.0,1.0,1.0,1.0,17
150954,120123.0,24.73836,46.64009,0.0,646.0,1.0,1.0,1.0,18
150956,120123.0,24.73836,46.64008,3.2,645.0,2.0,1.0,1.0,18
150956,120123.0,24.73836,46.64008,3.2,645.0,2.0,1.0,1.0,19
150959,120123.0,24.73836,46.64007,0.0,645.0,1.0,0.0,0.0,19
150959,120123.0,24.73836,46.64007,0.0,645.0,1.0,0.0,0.0,20
151000,120123.0,24.73836,46.64006,2.5,646.0,1.0,0.0,0.0,20
151000,120123.0,24.73836,46.64006,2.5,646.0,1.0,0.0,0.0,21
151001,120123.0,24.73836,46.64005,3.3,646.0,1.0,0.0,0.0,21
151001,120123.0,24.73836,46.64005,3.3,646.0,1.0,0.0,0.0,22
151002,120123.0,24.73835,46.64005,2.3,647.0,1.0,0.0,0.0,22
151002,120123.0,24.73835,46.64005,2.3,647.0,1.0,0.0,0.0,23
151003,120123.0,24.73835,46.64004,2.4,647.0,1.0,0.0,0.0,23
151003,120123.0,24.73835,46.64004,2.4,647.0,1.0,0.0,0.0,24
151004,120123.0,24.73835,46.64003,4.3,646.0,0.0,0.0,0.0,24
151004,120123.0,24.73835,46.64003,4.3,646.0,0.0,0.0,0.0,25
151005,120123.0,24.73834,46.64002,6.6,647.0,0.0,0.0,0.0,25
151005,120123.0,24.73834,46.64002,6.6,647.0,0.0,0.0,0.0,26
151006,120123.0,24.73833,46.64001,6.0,647.0,0.0,0.0,0.0,26
151006,120123.0,24.73833,46.64001,6.0,647.0,0.0,0.0,0.0,27
151007,120123.0,24.73833,46.63999,6.8,646.0,0.0,0.0,0.0,27
151007,120123.0,24.73833,46.63999,6.8,646.0,0.0,0.0,0.0,28
151008,120123.0,24.73832,46.63997,7.3,647.0,0.0,0.0,0.0,28
