Time,Date,lat,lng,Speed,Altitude,intensity,street
172756,10123,24.74043,46.6392,0,653,15,thestreeta
172756,10123,24.74043,46.6392,0,653,15,thestreeta
172757,10123,24.74043,46.63921,0,648,15,thestreeta
172757,10123,24.74043,46.63921,0,648,15,thestreeta
172758,10123,24.74044,46.63927,0,632,15,thestreeta
172758,10123,24.74044,46.63927,0,632,15,thestreeta
172759,10123,24.74047,46.6393,0,633,15,thestreeta
172759,10123,24.74047,46.6393,0,633,15,thestreeta
172800,10123,24.74047,46.6393,0,636,15,thestreeta
172800,10123,24.74047,46.6393,0,636,15,thestreeta
172801,10123,24.74048,46.6393,0,637,15,thestreeta
172801,10123,24.74048,46.6393,0,637,15,thestreeta
172802,10123,24.74049,46.6393,0,639,15,thestreeta
172802,10123,24.74049,46.6393,0,639,15,thestreeta
172803,10123,24.74049,46.6393,0,639,15,thestreeta
172803,10123,24.74049,46.6393,0,639,15,thestreeta
172804,10123,24.7405,46.6393,0,641,15,thestreeta
172804,10123,24.7405,46.6393,0,641,15,thestreeta
172805,10123,24.7405,46.63929,0,643,15,thestreeta
172805,10123,24.7405,46.63929,0,643,15,thestreeta
172806,10123,24.74049,46.63929,0,643,15,thestreeta
172806,10123,24.74049,46.63929,0,643,15,thestreeta
172807,10123,24.74049,46.63929,0,643,15,thestreeta
172807,10123,24.74049,46.63929,0,643,15,thestreeta
172808,10123,24.74049,46.63929,0,643,15,thestreeta
172808,10123,24.74049,46.63929,0,643,15,thestreeta
172809,10123,24.74049,46.6393,2.6,642,15,thestreeta
172809,10123,24.74049,46.6393,2.6,642,15,thestreeta
172810,10123,24.74048,46.63931,8,643,15,thestreeta
172810,10123,24.74048,46.63931,8,643,15,thestreeta
172811,10123,24.74046,46.63932,11.3,643,15,thestreeta
172811,10123,24.74046,46.63932,11.3,643,15,thestreeta
172812,10123,24.74043,46.63934,14.3,643,15,thestreeta
172812,10123,24.74043,46.63934,14.3,643,15,thestreeta
